"","genus_species","species","genus","family","order","class","redlistCategory","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"1","Acrobates pygmaeus","pygmaeus","Acrobates","Acrobatidae","Diprotodontia","Mammalia","Least Concern",50,1327,24,48,1,43,24,0.558,35,2
"2","Aepyprymnus rufescens","rufescens","Aepyprymnus","Potoroidae","Diprotodontia","Mammalia","Least Concern",40,1214,28,38,1,46,15,0.326,24,3
"3","Ailurops melanotis","melanotis","Ailurops","Phalangeridae","Diprotodontia","Mammalia","Critically Endangered",2,2,1,2,0,2,1,0.5,0,1
"4","Ailurops ursinus","ursinus","Ailurops","Phalangeridae","Diprotodontia","Mammalia","Vulnerable",10,112,7,10,0,27,6,0.222,6,2
"5","Antechinomys laniger","laniger","Antechinomys","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",12,157,10,12,0,38,6,0.158,4,1
"6","Antechinus adustus","adustus","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,25,1,1,0,21,1,0.048,1,0
"7","Antechinus agilis","agilis","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",56,1360,25,55,1,23,23,1,42,1
"8","Antechinus bellus","bellus","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Vulnerable",9,447,8,9,0,45,6,0.133,5,0
"9","Antechinus flavipes","flavipes","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",86,1638,46,83,0,61,21,0.344,50,4
"10","Antechinus godmani","godmani","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",9,333,9,9,0,30,6,0.2,5,1
"11","Antechinus leo","leo","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",3,36,3,3,0,22,3,0.136,1,0
"12","Antechinus minimus","minimus","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",26,409,14,26,0,45,12,0.267,15,1
