internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
16752,Petrogale coenensis,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Petrogale,coenensis,,,,,"Eldridge &amp; Close, 1992",
16888,Phascogale calura,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Phascogale,calura,,,,,"Gould, 1844",
16889,Phascogale pirata,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Phascogale,pirata,,,,,"(Thomas, 1904)","<i>Phascogale pirata</i> is considered a subspecies of <i>P. tapoatafa</i> by Groves (2005). Recent taxonomic work, however, suggests that <i>P. tapoatafa</i> <i>sensu lato</i> is composed of more than one species, including <i>P. pirata</i>, which is treated here as distinct (Rhind <i>et al.</i> 2001, Spencer <i>et al.</i> 2001; for comments, see Rhind <i>et al.</i> 2008)."
20295,Sminthopsis butleri,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Sminthopsis,butleri,,,,,"Archer, 1979",
20637,Spilocuscus kraemeri,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Spilocuscus,kraemeri,,,,,"(Schwartz, 1910)",Groves in Wilson and Reeder (1993) treated it as a probable synonym of <i>S. maculatus</i>.
20890,Strigocuscus celebensis,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Strigocuscus,celebensis,,,,,"(Gray, 1858)",
3339,Burramys parvus,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,BURRAMYIDAE,Burramys,parvus,,,,,"Broom, 1896",
40540,Sarcophilus harrisii,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Sarcophilus,harrisii,,,,,"(Boitard, 1841)","<i>Sarcophilus laniarius</i> has also been used recently in light of comparisons between a fossil specimen, <i>S. laniarius</i> (named prior to the naming of <i>S. harrisii</i>), and the extant species (Werdelin 1987)."
1587,Murexia naso,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Murexia,naso,,,,,"(Jentink, 1911)","Groves (2005) placed this species in the genus <i>Phascomurexia</i> following a morphocladistic analysis by Van Dyck (2002). Genetic work, however, strongly supports the placement of this species within <i>Murexia</i> (Armstrong <i>et al.</i> 1998; Krajewski <i>et al.</i> 2000, 2007)."
13931,Murexia rothschildi,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Murexia,rothschildi,,,,,"Tate, 1938","Groves (2005) placed this species in the genus <i>Paramurexia</i> following a morphocladistic analysis by Van Dyck (2002). Genetic work, however, strongly supports the placement of this species within <i>Murexia</i> (Armstrong <i>et al.</i> 1998; Krajewski <i>et al.</i> 2000, 2007)."
1589,Murexia habbema,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Murexia,habbema,,,,,"(Tate &amp; Archbold, 1941)","Groves (2005) placed this species in the genus <i>Micromurexia</i> following a morphocladistic analysis by Van Dyck (2002). Genetic work, however, strongly supports the placement of this species within <i>Murexia</i> (Armstrong <i>et al.</i> 1998; Krajewski <i>et al.</i> 2000, 2007).
<br>
<br><i>Murexia habbema</i> potentially represents two allopatric species: the subspecies <i>M. h. habbema</i> of the western part of the range (Snow and Star Mountains), and subspecies <i>M. h. hageni</i> of the eastern part of the range (eastern highlands from Mounts Giluwe, Sisa, and Hagen to northern Central Province, Papua New Guinea) (Helgen 2007)."
1591,Murexia melanurus,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Murexia,melanurus,,,,,"(Thomas, 1899)","Groves (2005) placed this species in the genus <i>Murexechinus</i> following a morphocladistic analysis by Van Dyck (2002). Genetic work, however, strongly supports the placement of this species within <i>Murexia</i> (Armstrong <i>et al.</i> 1998; Krajewski <i>et al.</i> 2000, 2007).
<br>
<br>R.F. Peterson collected a specimen in 1956 from highland forest on the island of Normanby in the D'Entrecasteaux Archipelago (Papua New Guinea) that Brass (1959) assigned to <i>Murexia longicaudata</i>. Van Dyck (2002) considered this specimen to be <i>M. melanurus</i>. Given the uncertainty surrounding this specimen, we have not mapped the species on Normanby (see also Flannery 1995)."
13930,Murexia longicaudata,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Murexia,longicaudata,,,,,"(Schlegel, 1866)",
40527,Dasykaluta rosamondae,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Dasykaluta,rosamondae,,,,,"(Ride, 1964)",
16894,Phascolosorex dorsalis,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Phascolosorex,dorsalis,,,,,"(Peters &amp; Doria, 1876)","<i>Phascolosorex dorsalis</i> represents a species complex that will likely be split into <i>P. dorsalis</i>, endemic to the Arfak Mountains, and <i>P. brevicaudata</i> from the remaining range (with <i>P. b. whartoni</i> as a distinctive subspecies) (K. Helgen pers. comm.)."
16893,Phascolosorex doriae,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Phascolosorex,doriae,,,,,"(Thomas, 1886)",
1581,Antechinomys laniger,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Antechinomys,laniger,,,,,"(Gould, 1856)","<p>Two subspecies or ‘forms’ (originally described as full species) have been described, <em>Antechinomys laniger laniger</em> (eastern Australia) and <em>A. l.</em> <em>spenceri</em> (western Australia). Lidicker and Marlow (1970) supported retention of the two species, but Archer (1977) concluded that the differences between the two described species were clinal and considered that <em>Antechinomys</em> is a monotypic genus containing only<em> A. laniger</em>, with two allopatric forms, the nominate form and the '<em>spenceri</em>' form. These subspecies (or ‘forms’) have not been tested using modern molecular methods, and are not accepted here.</p>"
14541,Neophascogale lorentzii,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Neophascogale,lorentzii,,,,,"(Jentink, 1911)",
40531,Ningaui yvonneae,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Ningaui,yvonneae,,,,,"Kitchener, Stoddart &amp; Henry, 1983",
40529,Ningaui ridei,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Ningaui,ridei,,,,,"Archer, 1975",
40530,Ningaui timealeyi,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Ningaui,timealeyi,,,,,"Archer, 1975",
6265,Dasyuroides byrnei,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Dasyuroides,byrnei,,,,,"Spencer, 1896",
